title,category,subscriber,view,video
카페노예 jun,[BJ/인물/연예인],52만,3484만,64개
Miniyu ASMR,[취미/라이프],52만,2억1586만,713개
딩가의 회전목마 DINGA,[취미/라이프],52만,6093만,169개
강하나 스트레칭_stretching,[스포츠/운동],52만,4285만,249개
KBS KONG,[뉴스/정치/사회],52만,1억9999만,"6,675개"
fantagio 판타지오,[TV/방송],52만,1억0470만,190개
쿠캣 레시피 / Cookat Recipe,[음식/요리/레시피],52만,1억9996만,"1,621개"
Melon 멜론,[미분류],52만,5515만,143개
Bravo jamoasi,[미분류],52만,9048만,67개
뭅뭅,[영화/만화/애니],52만,3억8616만,"3,159개"
직업의모든것,[미분류],52만,1억5641만,267개
허미노MINO,[음식/요리/레시피],52만,1억9841만,"1,593개"
김나영의 nofilterTV,[취미/라이프],52만,9098만,270개
단하나 DANHANA,[미분류],52만,7994만,81개
OGN,[게임],52만,5억9474만,"27,386개"
노래하는코트,[음악/댄스/가수],52만,2억7588만,"2,224개"
아옳이,[패션/미용],52만,7860만,132개
미소,[게임],52만,2억1184만,"3,071개"
정육왕 MeatCreator,[음식/요리/레시피],52만,1억1033만,377개
햄튜브,[미분류],52만,2억6646만,"1,050개"
근황올림픽,[미분류],52만,2억2039만,198개
AB6IX,[미분류],52만,2629만,201개
Dragon Stone,[음악/댄스/가수],52만,3129만,143개
코믹마트,[미분류],51만,1억4455만,164개
느낌적인느낌,[BJ/인물/연예인],51만,4968만,109개
과학드림 [Science Dream],[미분류],51만,7181만,87개
Mina's TV 미나네TV,[음악/댄스/가수],51만,1914만,125개
아리둥절 Ari the Corgi,[애완/반려동물],51만,1억3554만,208개
빅헤드,[게임],51만,2억7027만,"3,377개"
에버랜드 - EVERLAND,[미분류],51만,1억5123만,"1,883개"
서울의소리 Voice of Seoul,[뉴스/정치/사회],51만,2억2106만,"6,615개"
유이뿅YUIPYON,[미분류],51만,1억1634만,279개
자몽티비,[게임],51만,4억5121만,"1,921개"
최케빈,[게임],51만,6억0321만,"3,185개"
드립팩토리 [Dlib Factory],[미분류],51만,1억5076만,130개
joanday,[TV/방송],51만,6531만,617개
Muggo,[음식/요리/레시피],51만,1억7167만,"1,254개"
풍자테레비,[BJ/인물/연예인],50만,1억9548만,"1,402개"
비누TV,[게임],50만,3억9634만,"1,616개"
KBS Entertain: 깔깔티비,[TV/방송],50만,6억5375만,"4,186개"
Flow Music,[음악/댄스/가수],50만,1억0135만,570개
한국경제TV,[뉴스/정치/사회],50만,1억6459만,"48,058개"
레이디액션,[TV/방송],50만,2억0330만,312개
두치와뿌꾸,[게임],50만,6억8793만,"9,239개"
국방TV,[뉴스/정치/사회],50만,4억6028만,"10,855개"
상현아웃겨줘parksanghyun,[TV/방송],50만,1억5844만,356개
와빌,[영화/만화/애니],50만,8130만,193개
스타일가이드 최겨울,[패션/미용],50만,8604만,739개
정동원TV,[음악/댄스/가수],50만,1억4439만,240개
오콘키즈,[키즈/어린이],50만,6억4302만,997개
하늘이와 바다의 신나는 율동 동요 (SkySea.TV),[키즈/어린이],50만,3억0810만,131개
주키니TV,[게임],50만,1억5155만,371개
Super K-슈퍼개미김정환,[미분류],50만,3770만,329개
도아TV,[BJ/인물/연예인],50만,1억7671만,"1,509개"
각별,[게임],50만,1억7206만,224개
또모TOWMOO,[미분류],49만,1억1274만,166개
H1GHR MUSIC,[음악/댄스/가수],49만,1억6978만,409개
Everton Football Club,[미분류],49만,1억3269만,"2,380개"
스튜디오V [ STUDIO V ],[TV/방송],49만,1억3862만,296개
1분미만,[미분류],49만,7910만,83개
주간이상준,[TV/방송],49만,1억0994만,362개
Mr.아재 [Mr.Ajae],[BJ/인물/연예인],49만,1억1376만,288개
희철리즘Heechulism,[취미/라이프],49만,1억2891만,259개
DanalEntertainment,[음악/댄스/가수],49만,2억6199만,"8,516개"
supershinstudio,[영화/만화/애니],49만,3억5618만,"7,740개"
황장수의 뉴스브리핑o,[뉴스/정치/사회],49만,4억2074만,"10,174개"
Mommy Son,[음악/댄스/가수],49만,7293만,48개
오사원 Oh!sales,[미분류],49만,1억5270만,484개
ROAD FIGHTING CHAMPIONSHIP,[스포츠/운동],48만,4억1727만,"3,870개"
쵸쵸우,[게임],48만,7590만,529개
방앗간 비둘기,[게임],48만,3억1522만,"4,238개"
Netflix Korea,[영화/만화/애니],48만,1억2807만,"1,136개"
김용민TV,[뉴스/정치/사회],48만,1억5445만,"4,804개"
마플 마인크래프트 채널,[게임],48만,7억6025만,"1,876개"
쉐어하우스,[미분류],48만,1억4691만,"1,194개"
진자림 Jinjalim,[미분류],48만,1억1377만,277개
노래하는하람,[키즈/어린이],48만,1억9810만,715개
pharkil 2015,[TV/방송],48만,5억0025만,"3,860개"
석준이가해,[TV/방송],48만,1억0938만,189개
혜서니,[미분류],48만,1억1448만,498개
코리안브로스,[미분류],48만,2억0856만,636개
이석현,[게임],48만,2억8672만,"3,352개"
남욱이의 욱기는 일상 KNW,[취미/라이프],48만,2억0064만,946개
[윤이련]50년 요리비결,[미분류],48만,9642만,240개
뭉땡뭉땡,[애완/반려동물],48만,1억3792만,377개
하알라,[미분류],47만,9953만,165개
친절한 대학,[교육/강의],47만,4651만,493개
견자희 스튜디오,[게임],47만,1억9205만,"1,446개"
루태TV,[게임],47만,3억4272만,"3,132개"
하비 Havy,[음악/댄스/가수],47만,1억0139만,712개
홍윤화 김민기 꽁냥꽁냥,[TV/방송],47만,9206만,292개
코코 TV,[BJ/인물/연예인],47만,0,0개
Ripple_S,[TV/방송],47만,2억6165만,606개
오마이스쿨,[교육/강의],47만,6670만,"1,477개"
KIMDAX킴닥스,[패션/미용],47만,5297만,369개
필름에빠지다,[영화/만화/애니],47만,1억8963만,370개
HAMBUK 햄벅,[미분류],47만,8212만,286개
미트 miit,[미분류],47만,3722만,271개
여수MBC Music+(Kpop&Trot),[뉴스/정치/사회],47만,2억9864만,"11,182개"
YTN 사이언스,[뉴스/정치/사회],47만,3억1073만,"41,679개"
Today on the Korean Server,[게임],47만,5129만,619개
Drawing Hands,[취미/라이프],47만,6390만,288개
이수근 채널,[스포츠/운동],47만,5743만,242개
MayTree,[미분류],47만,4680만,142개
임선비,[게임],47만,1억8831만,"1,023개"
아이템의 인벤토리,[TV/방송],47만,1억0387만,149개
MediaVOP,[뉴스/정치/사회],47만,6억2863만,"16,413개"
썩쏘TV,[게임],47만,2억9726만,"1,937개"
Samuel OFFICIAL,[음악/댄스/가수],46만,1330만,67개
Arirang News,[뉴스/정치/사회],46만,2억1522만,"119,864개"
MBC 미스터리 : 심야괴담회 x 서프라이즈,[TV/방송],46만,2억1621만,851개
연고티비,[TV/방송],46만,2억1873만,923개
meejmuse,[패션/미용],46만,3519만,338개
심방골주부Korean Food Recipes,[음식/요리/레시피],46만,9052만,476개
박민정 TV,[BJ/인물/연예인],46만,1억2228만,395개
채채ChaeChae,[BJ/인물/연예인],46만,1억2481만,339개
[에일리 OFFICIAL] aileemusic,[미분류],46만,6003만,96개
키다리형,[스포츠/운동],46만,8817만,"1,076개"
RÉCORD 레코드,[음악/댄스/가수],46만,1억0516만,161개
