title,category,subscriber,view,video
Edu car toy school,[키즈/어린이],153만,7억8802만,"1,226개"
OfficialLEEHI,[음악/댄스/가수],153만,3억0591만,94개
SPOTV,[스포츠/운동],153만,11억4236만,"40,411개"
덕대-DD film,[키즈/어린이],153만,7억0796만,"1,552개"
ZOEY ASMR 조이,[음식/요리/레시피],152만,3억5304만,540개
태경 TV,[게임],152만,21억0632만,"2,387개"
PENTAGON 펜타곤 (Official YouTube Channel),[음악/댄스/가수],151만,1억8850만,318개
NU'EST,[음악/댄스/가수],151만,2억1177만,561개
버블디아,[음악/댄스/가수],150만,3억8133만,"1,166개"
캐릭온 TV,[키즈/어린이],150만,15억1828만,659개
dingo freestyle,[TV/방송],149만,7억6867만,796개
브라보키즈_BRAVO KIDS,[키즈/어린이],148만,15억0294만,"1,695개"
헨리 Henry Lau,[음악/댄스/가수],147만,1억0875만,144개
EBSCulture (EBS 교양),[뉴스/정치/사회],147만,11억0041만,"39,956개"
[Nareum_TV] 나름TV,[음식/요리/레시피],146만,5억0977만,775개
짤툰,[미분류],145만,5억5832만,229개
ARIKITCHEN (아리키친),[음식/요리/레시피],145만,3억3269만,421개
철구형 (CHULTUBE),[BJ/인물/연예인],144만,12억5071만,"6,876개"
지니키즈 Genikids (인기 동요・동화),[키즈/어린이],144만,11억0266만,"1,288개"
엠브로 MBRO,[음식/요리/레시피],143만,4억9498만,"1,094개"
loonatheworld,[음악/댄스/가수],142만,4억7613만,960개
웃소 Wootso,[BJ/인물/연예인],142만,11억7924만,619개
신사임당,[주식/경제/부동산],141만,1억5906만,791개
슈카월드,[교육/강의],141만,1억7418만,792개
KBS 한국방송,[TV/방송],140만,12억9930만,"27,176개"
K-Tigers TV,[음악/댄스/가수],140만,1억9464만,435개
Solfa,[TV/방송],140만,2억3633만,53개
Chuther츄더[문에스더],[음악/댄스/가수],139만,1억7771만,126개
급식왕,[BJ/인물/연예인],139만,14억2060만,564개
Daily Busking,[음악/댄스/가수],139만,5억4765만,953개
DOJIN도진이,[음악/댄스/가수],138만,6802만,39개
The Kelly Clarkson Show,[미분류],137만,2억0998만,"2,328개"
KBS Drama Classic,[뉴스/정치/사회],137만,12억3174만,"9,170개"
칩chip,[음식/요리/레시피],137만,1억6994만,33개
승우아빠,[음식/요리/레시피],137만,3억2682만,524개
FNCEnt,[음악/댄스/가수],136만,2억7324만,"1,378개"
ETTV 이티티비,[음식/요리/레시피],135만,5억7143만,901개
T1 Faker,[게임],135만,2억1852만,"1,140개"
Lemoring,[음악/댄스/가수],135만,6억3474만,458개
BEAST 비스트 (Official YouTube Channel),[음악/댄스/가수],135만,5억6985만,118개
FoodieBoy 푸디보이,[음식/요리/레시피],135만,5억0325만,"1,043개"
MKTV 김미경TV,[TV/방송],134만,2억3633만,"1,531개"
산적TV 밥굽남,[음식/요리/레시피],134만,2억5472만,495개
유라야놀자(Let's play YURA),[키즈/어린이],134만,13억9496만,"1,336개"
신의한수,[뉴스/정치/사회],134만,10억6551만,"7,719개"
NALU,[BJ/인물/연예인],134만,9855만,142개
지무비 : G Movie,[영화/만화/애니],134만,4억2146만,204개
"안구정화TV, Your Korean Friend",[TV/방송],133만,9836만,136개
A-YEON,[음악/댄스/가수],131만,1억3770만,54개
SBS 뉴스,[뉴스/정치/사회],131만,20억5990만,"100,861개"
박막례 할머니 Korea Grandma,[BJ/인물/연예인],131만,3억6455만,392개
푸드킹덤 Food Kingdom,[미분류],130만,4억3937만,725개
KBS HUMAN: 뭉클티비,[TV/방송],130만,6억1483만,"2,632개"
뉴욕이랑 브이로그,[키즈/어린이],130만,4억6413만,495개
AOA (에이오에이),[음악/댄스/가수],130만,6억5345만,192개
꽈뚜룹,[BJ/인물/연예인],130만,3억3710만,593개
Mera,[TV/방송],130만,11억2783만,"7,531개"
JAYKEEOUT,[BJ/인물/연예인],130만,1억6406만,202개
딩고 스토리 / dingo story,[TV/방송],130만,2억8005만,324개
[상윤쓰]Sangyoon,[BJ/인물/연예인],129만,2억2962만,129개
디글 클래식 :Diggle Classic,[뉴스/정치/사회],129만,27억6613만,"18,909개"
Apink (에이핑크),[음악/댄스/가수],129만,3억2450만,612개
동네놈들,[TV/방송],129만,2억6066만,236개
BLACKHAND,[TV/방송],129만,3억0897만,49개
삼프로TV_경제의신과함께,[주식/경제/부동산],129만,2억7482만,"3,986개"
lamuqe,[패션/미용],129만,1억1378만,257개
탱구TV,[취미/라이프],128만,4394만,27개
RealVIXX,[음악/댄스/가수],126만,3억5630만,723개
MBN Entertainment,[TV/방송],126만,12억4606만,"28,361개"
사물궁이 잡학지식,[교육/강의],126만,1억7940만,250개
강형욱의 보듬TV - Dog Trainer Kang,[애완/반려동물],126만,2억1171만,694개
헬로카봇 - hello carbot official,[키즈/어린이],126만,10억9870만,"1,056개"
SBS STORY,[뉴스/정치/사회],125만,15억7999만,"77,552개"
진성호방송,[뉴스/정치/사회],125만,11억5315만,"6,005개"
악어 유튜브,[게임],125만,13억2984만,"6,027개"
시즌비시즌 Season B Season,[음악/댄스/가수],124만,9255만,36개
티디키즈 by 지니키즈,[키즈/어린이],124만,7억7046만,345개
워너뮤직코리아 (Warner Music Korea),[음악/댄스/가수],124만,6억7683만,"2,087개"
Dingo K-Beauty,[TV/방송],124만,3억6482만,346개
신세경 sjkuksee,[BJ/인물/연예인],123만,4091만,31개
신세경 sjkuksee,[TV/방송],123만,4091만,31개
턱형 (GOD-TUK),[BJ/인물/연예인],123만,4억1954만,511개
THE BOYZ,[음악/댄스/가수],122만,1억5880만,451개
Prepix Dance Studio,[음악/댄스/가수],122만,2억0815만,"3,274개"
스윗더미 . Sweet The MI,[음식/요리/레시피],122만,1억1589만,318개
Shoot for Love 슛포러브,[스포츠/운동],122만,6억1222만,660개
피키픽처스 Piki Pictures,[TV/방송],122만,4억3518만,569개
디스커버리 서바이벌 - Discovery Survival,[TV/방송],120만,2억9457만,296개
GENIE MUSIC,[음악/댄스/가수],120만,3억9392만,"3,629개"
DICKHUNTER딕헌터🌶,[음식/요리/레시피],120만,2억7885만,316개
[THE SOY]루퐁이네,[미분류],119만,3억0427만,269개
MBCNEWS,[뉴스/정치/사회],119만,23억0450만,"102,950개"
세바시 강연 Sebasi Talk,[뉴스/정치/사회],119만,2억4193만,"1,913개"
다또아Daddoa,[패션/미용],119만,9086만,182개
Lia Kim,[BJ/인물/연예인],119만,5924만,50개
회사원A,[패션/미용],119만,3억7036만,467개
수상한녀석들,[BJ/인물/연예인],119만,2억3730만,163개
eaJ,[TV/방송],118만,4181만,31개
김시선,[영화/만화/애니],118만,3억5172만,337개
PLAYY ANI 플레이애니,[영화/만화/애니],117만,4억6027만,589개
문명특급 - MMTG,[TV/방송],117만,1억9606만,180개
테스터훈 TesterHoon,[게임],117만,7억0362만,"2,176개"
official A.C.E,[음악/댄스/가수],117만,1억4525만,516개
달라스튜디오,[TV/방송],116만,1억0511만,55개
ONEUS,[음악/댄스/가수],116만,1억3226만,278개
우주하마,[게임],116만,5억1287만,"1,678개"
우왁굳의 게임방송,[게임],116만,8억4881만,"7,142개"
사람사는세상노무현재단,[뉴스/정치/사회],116만,1억1065만,735개
깨비키즈 [KEBIKIDS],[키즈/어린이],116만,12억4430만,"1,631개"
CJ ENM,[TV/방송],115만,17억2374만,"14,871개"
휘트니 whitney bae,[취미/라이프],115만,2억8593만,317개
파뿌리,[음식/요리/레시피],115만,8억4751만,"1,237개"
임영웅,[BJ/인물/연예인],114만,7억2564만,549개
AOMGOFFICIAL,[음악/댄스/가수],114만,2억3586만,293개
KBS News,[뉴스/정치/사회],114만,13억9394만,"162,317개"
취미로 요리하는 남자 Yonam,[음식/요리/레시피],114만,8470만,60개
미니카 Minicar,[키즈/어린이],113만,6억5441만,"1,646개"
애주가TV참PD,[음식/요리/레시피],113만,4억7909만,"1,012개"
소련여자 Soviet girl in Seoul,[BJ/인물/연예인],111만,1억2631만,86개
혜리,[BJ/인물/연예인],111만,5721만,54개
CheezeFilm,[영화/만화/애니],111만,2억9493만,180개
맛있는 녀석들 (Tasty Guys),[음식/요리/레시피],111만,11억5533만,"2,873개"
채널A 뉴스,[뉴스/정치/사회],110만,12억6232만,"56,928개"
Talk To Me In Korean,[교육/강의],110만,5384만,"1,673개"
체인지 그라운드,[교육/강의],110만,1억8547만,"2,697개"
jannahkorea 잔나코리아,[교육/강의],110만,6166만,367개
크집사,[애완/반려동물],110만,1억2229만,212개
Cheri Hyeri 체리 혜리,[BJ/인물/연예인],110만,1억4964만,342개
성수커플 - S.S Couple,[BJ/인물/연예인],110만,3억1334만,372개
